filename,x,z,rotation_index,rotation_degrees
000177.png,-0.5,-0.5,1,90
000178.png,-0.5,-0.5,2,180
000179.png,-0.5,-0.5,3,270
000180.png,-0.5,0.5,0,0
000181.png,-0.5,0.5,1,90
000182.png,-0.5,0.5,2,180
000183.png,-0.5,0.5,3,270
000184.png,-0.5,1.5,0,0
000185.png,-0.5,1.5,1,90
000186.png,-0.5,1.5,2,180
000187.png,-0.5,1.5,3,270
000188.png,-0.5,2.5,0,0
000189.png,-0.5,2.5,1,90
000190.png,-0.5,2.5,2,180
000191.png,-0.5,2.5,3,270
000192.png,-0.5,3.5,0,0
000193.png,-0.5,3.5,1,90
000194.png,-0.5,3.5,2,180
000195.png,-0.5,3.5,3,270
000196.png,-0.5,4.5,0,0
000197.png,-0.5,4.5,1,90
000198.png,-0.5,4.5,2,180
000199.png,-0.5,4.5,3,270
000200.png,0.5,-4.5,0,0
000201.png,0.5,-4.5,1,90
000202.png,0.5,-4.5,2,180
000203.png,0.5,-4.5,3,270
000204.png,0.5,-3.5,0,0
000205.png,0.5,-3.5,1,90
000206.png,0.5,-3.5,2,180
000207.png,0.5,-3.5,3,270
000208.png,0.5,-2.5,0,0
000209.png,0.5,-2.5,1,90
000210.png,0.5,-2.5,2,180
000211.png,0.5,-2.5,3,270
000212.png,0.5,-1.5,0,0
000213.png,0.5,-1.5,1,90
000214.png,0.5,-1.5,2,180
000215.png,0.5,-1.5,3,270
000216.png,0.5,-0.5,0,0
000217.png,0.5,-0.5,1,90
000218.png,0.5,-0.5,2,180
000219.png,0.5,-0.5,3,270
000220.png,0.5,0.5,0,0
000221.png,0.5,0.5,1,90
000222.png,0.5,0.5,2,180
000223.png,0.5,0.5,3,270
000224.png,0.5,1.5,0,0
000225.png,0.5,1.5,1,90
000226.png,0.5,1.5,2,180
000227.png,0.5,1.5,3,270
000228.png,0.5,2.5,0,0
000229.png,0.5,2.5,1,90
000230.png,0.5,2.5,2,180
000231.png,0.5,2.5,3,270
000232.png,0.5,3.5,0,0
000233.png,0.5,3.5,1,90
000234.png,0.5,3.5,2,180
000235.png,0.5,3.5,3,270
000236.png,0.5,4.5,0,0
000237.png,0.5,4.5,1,90
000238.png,0.5,4.5,2,180
000239.png,0.5,4.5,3,270
000240.png,1.5,-4.5,0,0
000241.png,1.5,-4.5,1,90
000242.png,1.5,-4.5,2,180
000243.png,1.5,-4.5,3,270
000244.png,1.5,-3.5,0,0
000245.png,1.5,-3.5,1,90
000246.png,1.5,-3.5,2,180
000247.png,1.5,-3.5,3,270
000248.png,1.5,-2.5,0,0
000249.png,1.5,-2.5,1,90
000250.png,1.5,-2.5,2,180
000251.png,1.5,-2.5,3,270
000252.png,1.5,-1.5,0,0
000253.png,1.5,-1.5,1,90
000254.png,1.5,-1.5,2,180
000255.png,1.5,-1.5,3,270
000256.png,1.5,-0.5,0,0
000257.png,1.5,-0.5,1,90
000258.png,1.5,-0.5,2,180
000259.png,1.5,-0.5,3,270
000260.png,1.5,0.5,0,0
000261.png,1.5,0.5,1,90
000262.png,1.5,0.5,2,180
000263.png,1.5,0.5,3,270
000264.png,1.5,1.5,0,0
000265.png,1.5,1.5,1,90
000266.png,1.5,1.5,2,180
000267.png,1.5,1.5,3,270
000268.png,1.5,2.5,0,0
000269.png,1.5,2.5,1,90
000270.png,1.5,2.5,2,180
000271.png,1.5,2.5,3,270
000272.png,1.5,3.5,0,0
000273.png,1.5,3.5,1,90
000274.png,1.5,3.5,2,180
000275.png,1.5,3.5,3,270
000276.png,1.5,4.5,0,0
000277.png,1.5,4.5,1,90
000278.png,1.5,4.5,2,180
000279.png,1.5,4.5,3,270
000280.png,2.5,-4.5,0,0
000281.png,2.5,-4.5,1,90
000282.png,2.5,-4.5,2,180
000283.png,2.5,-4.5,3,270
000284.png,2.5,-3.5,0,0
000285.png,2.5,-3.5,1,90
000286.png,2.5,-3.5,2,180
000287.png,2.5,-3.5,3,270
000288.png,2.5,-2.5,0,0
000289.png,2.5,-2.5,1,90
000290.png,2.5,-2.5,2,180
000291.png,2.5,-2.5,3,270
000292.png,2.5,-1.5,0,0
000293.png,2.5,-1.5,1,90
000294.png,2.5,-1.5,2,180
000295.png,2.5,-1.5,3,270
000296.png,2.5,-0.5,0,0
000297.png,2.5,-0.5,1,90
000298.png,2.5,-0.5,2,180
000299.png,2.5,-0.5,3,270
000300.png,2.5,0.5,0,0
000301.png,2.5,0.5,1,90
000302.png,2.5,0.5,2,180
000303.png,2.5,0.5,3,270
000304.png,2.5,1.5,0,0
000305.png,2.5,1.5,1,90
000306.png,2.5,1.5,2,180
000307.png,2.5,1.5,3,270
000308.png,2.5,2.5,0,0
000309.png,2.5,2.5,1,90
000310.png,2.5,2.5,2,180
000311.png,2.5,2.5,3,270
000312.png,2.5,3.5,0,0
000313.png,2.5,3.5,1,90
000314.png,2.5,3.5,2,180
000315.png,2.5,3.5,3,270
000316.png,2.5,4.5,0,0
000317.png,2.5,4.5,1,90
000318.png,2.5,4.5,2,180
000319.png,2.5,4.5,3,270
000320.png,3.5,-4.5,0,0
000321.png,3.5,-4.5,1,90
000322.png,3.5,-4.5,2,180
000323.png,3.5,-4.5,3,270
000324.png,3.5,-3.5,0,0
000325.png,3.5,-3.5,1,90
000326.png,3.5,-3.5,2,180
000327.png,3.5,-3.5,3,270
000328.png,3.5,-2.5,0,0
000329.png,3.5,-2.5,1,90
000330.png,3.5,-2.5,2,180
000331.png,3.5,-2.5,3,270
000332.png,3.5,-1.5,0,0
000333.png,3.5,-1.5,1,90
000334.png,3.5,-1.5,2,180
000335.png,3.5,-1.5,3,270
000336.png,3.5,-0.5,0,0
000337.png,3.5,-0.5,1,90
000338.png,3.5,-0.5,2,180
000339.png,3.5,-0.5,3,270
000340.png,3.5,0.5,0,0
000341.png,3.5,0.5,1,90
000342.png,3.5,0.5,2,180
000343.png,3.5,0.5,3,270
000344.png,3.5,1.5,0,0
000345.png,3.5,1.5,1,90
000346.png,3.5,1.5,2,180
000347.png,3.5,1.5,3,270
000348.png,3.5,2.5,0,0
000349.png,3.5,2.5,1,90
000350.png,3.5,2.5,2,180
000351.png,3.5,2.5,3,270
000352.png,3.5,3.5,0,0
000353.png,3.5,3.5,1,90
000354.png,3.5,3.5,2,180
000355.png,3.5,3.5,3,270
000356.png,3.5,4.5,0,0
000357.png,3.5,4.5,1,90
000358.png,3.5,4.5,2,180
000359.png,3.5,4.5,3,270
000360.png,4.5,-4.5,0,0
000361.png,4.5,-4.5,1,90
000362.png,4.5,-4.5,2,180
000363.png,4.5,-4.5,3,270
000364.png,4.5,-3.5,0,0
000365.png,4.5,-3.5,1,90
000366.png,4.5,-3.5,2,180
000367.png,4.5,-3.5,3,270
000368.png,4.5,-2.5,0,0
000369.png,4.5,-2.5,1,90
000370.png,4.5,-2.5,2,180
000371.png,4.5,-2.5,3,270
000372.png,4.5,-1.5,0,0
000373.png,4.5,-1.5,1,90
000374.png,4.5,-1.5,2,180
000375.png,4.5,-1.5,3,270
000376.png,4.5,-0.5,0,0
000377.png,4.5,-0.5,1,90
000378.png,4.5,-0.5,2,180
000379.png,4.5,-0.5,3,270
000380.png,4.5,0.5,0,0
000381.png,4.5,0.5,1,90
000382.png,4.5,0.5,2,180
000383.png,4.5,0.5,3,270
000384.png,4.5,1.5,0,0
000385.png,4.5,1.5,1,90
000386.png,4.5,1.5,2,180
000387.png,4.5,1.5,3,270
000388.png,4.5,2.5,0,0
000389.png,4.5,2.5,1,90
000390.png,4.5,2.5,2,180
000391.png,4.5,2.5,3,270
000392.png,4.5,3.5,0,0
000393.png,4.5,3.5,1,90
000394.png,4.5,3.5,2,180
000395.png,4.5,3.5,3,270
000396.png,4.5,4.5,0,0
000397.png,4.5,4.5,1,90
000398.png,4.5,4.5,2,180
000399.png,4.5,4.5,3,270
